Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Carbohydrates,230629,128899,175714,195405,126259,169016,230920,230414,55104,206392,192231,175628,101989,278941,337132,180065,249406,171434,355316,291437,305416,332999,7313
Clustering-based_subsystems,213797,115092,162540,175545,87062,157304,201185,154329,74393,139337,121908,110512,61653,186918,214043,125066,176447,119472,239665,194397,210703,266563,3825
Protein_Metabolism,148709,81742,115525,124326,36024,109247,124973,93557,48042,84003,71532,68091,36934,110912,131373,74880,105844,71214,144668,118562,122615,159500,2939
Miscellaneous,135597,76631,103030,114718,41384,101364,116397,79536,36845,72112,61429,56061,31600,95120,113728,64114,89726,61776,121174,99570,107285,139500,1771
DNA_Metabolism,119133,66026,90259,100333,29690,89443,102769,71367,31437,59537,51717,51354,25703,86270,102287,54862,78153,52767,113174,93223,97619,116995,1467
Amino_Acids_and_Derivatives,146753,76387,113235,119586,52250,107342,111366,53357,42237,54404,44870,37816,28325,67598,82094,45430,65303,42582,84540,65675,76935,117607,1996
Cell_Wall_and_Capsule,67494,37984,52111,59234,48637,50527,68927,54045,22798,46606,44299,41737,25545,70807,79818,46215,64762,41825,87856,70110,78255,94341,1071
RNA_Metabolism,80180,45567,60394,68189,27689,58939,73742,52475,25336,45908,39970,37823,21790,60994,71804,40192,58125,40164,80352,66331,69755,89656,1469
Nucleosides_and_Nucleotides,77858,44372,59422,68464,21160,56843,67383,48153,25444,43854,36728,33308,18051,55392,64583,39093,55099,37434,73167,58488,61675,78464,1206
Cofactors_Vitamins_Prosthetic_Groups_Pigments,83093,44850,63443,70381,29450,60648,70050,33497,42731,29372,25545,23740,15880,42612,51364,26345,38369,24679,51509,42645,46817,71405,774
Membrane_Transport,64629,35477,47626,55239,49612,46212,60777,37397,23915,33739,28577,29381,20124,45726,57069,28217,38877,25995,57493,46196,48723,62536,821
Phages_Prophages_Transposable_elements_Plasmids,33135,19216,25587,29623,39722,25074,40147,23593,4501,32147,21053,18736,11867,28587,35985,18858,27362,18021,35576,27116,33352,53080,851
Stress_Response,14001,7690,10383,12297,23037,10776,21844,28645,6873,23748,22980,21875,12626,33127,40007,22020,30949,21917,44359,36452,36814,44342,618
Fatty_Acids_Lipids_and_Isoprenoids,34532,19194,26992,30468,12762,26121,31889,21790,8279,19707,17338,14735,8549,25171,30709,18311,25077,16546,32559,27555,27841,40762,531
Virulence_Disease_and_Defense,27618,16112,20443,24392,21242,20795,36391,18665,8266,17979,13545,13453,10457,26189,33453,15393,20846,12397,26962,23273,28378,49109,502
Respiration,16915,8837,12742,14579,24839,11982,24844,21390,12695,20485,17469,14716,10617,24732,28600,17776,23802,16908,30891,26222,26561,35326,552
Cell_Division_and_Cell_Cycle,25756,13553,19842,20920,4361,18999,23261,18307,6608,18279,14342,12102,6352,20733,23298,15508,21024,15203,26535,21769,23155,29710,623
Regulation_and_Cell_signaling,9252,5094,7130,8087,18079,6749,20829,14339,3996,14377,11277,10247,8701,17881,20642,12937,17148,11161,20893,17028,20625,30582,683
Phosphorus_Metabolism,24952,13989,19830,21955,8383,18391,17534,10155,4553,11298,8803,6763,4782,12168,15204,8795,12437,8415,15795,12575,13715,19067,151
Iron_acquisition_and_metabolism,7196,3709,5526,6381,19357,5063,9827,9480,10964,9616,8773,7394,6373,12345,14332,8207,11644,7646,15013,12307,12950,18626,281
Nitrogen_Metabolism,9965,5077,7647,8396,14400,7276,5978,3655,7600,3944,3382,2650,3316,5563,6502,3442,5628,2792,6595,5135,7025,13649,101
Sulfur_Metabolism,10478,5705,8010,9301,5702,7611,7208,3298,832,4143,2973,2397,2196,5527,6622,3476,4954,2067,7362,5205,7025,9917,81
Dormancy_and_Sporulation,11060,6030,7807,9144,1483,7550,5776,2922,2645,2541,1934,2210,1153,3613,4570,2008,3034,2069,4494,3986,4679,7693,37
Metabolism_of_Aromatic_Compounds,4676,2696,3549,4044,3033,3407,4537,4239,865,4013,2859,2599,2621,4672,5331,3333,4295,3194,5698,4736,5174,7259,107
Potassium_metabolism,5785,3286,4284,5044,6449,4409,9387,2275,716,2657,1909,1814,1757,3251,2975,1783,2965,2014,3946,2992,3020,4723,100
Motility_and_Chemotaxis,2183,979,1542,2120,14364,1246,1137,1628,726,994,919,1114,572,2013,2415,889,1615,985,2762,2221,2466,2747,27
Secondary_Metabolism,3292,1795,2535,2931,2765,2306,1499,107,567,184,66,79,262,163,259,99,260,114,184,132,217,727,5
Photosynthesis,0,0,1,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,30,1
