Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Methanosarcina,170,124,100,133,14,115,82,353,928,168,314,171,100,250,368,179,326,111,354,210,111,375,8
Methanocorpusculum,608,476,463,499,15,554,299,0,24,0,0,0,0,0,0,0,13,0,1,0,1,0,1
Methanobrevibacter,49,0,21,0,1,1,27,137,221,181,91,103,49,112,152,105,205,87,215,130,229,180,0
Methanocaldococcus,15,0,2,100,0,38,7,0,192,60,85,4,16,7,7,52,2,7,303,137,14,14,0
Methanospirillum,89,71,73,159,11,156,40,0,164,13,0,5,2,0,3,0,1,0,1,0,1,0,0
Methanoculleus,1,0,4,2,0,4,3,24,54,23,21,29,5,58,67,16,48,20,30,44,62,75,0
Methanosphaera,0,0,1,2,0,1,11,11,208,35,21,28,6,18,18,13,13,17,32,7,69,53,0
Methanohalophilus,0,0,0,0,0,0,0,0,0,50,42,65,11,33,0,30,0,76,29,149,43,1,0
Methanococcoides,15,2,2,0,0,0,0,21,8,87,11,14,2,56,26,19,5,22,13,35,59,10,3
Methanococcus,7,2,7,2,1,2,35,1,113,2,0,9,10,4,13,1,49,1,6,2,40,38,5
Methanohalobium,2,0,0,1,0,0,4,2,0,30,10,42,2,1,117,0,25,0,78,1,14,0,0
Methanosaeta,0,0,0,0,0,0,0,0,183,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Methanocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,2,1,0,0,0
Methanothermus,0,0,0,0,0,0,0,0,1,0,0,3,1,12,17,15,0,0,8,10,0,0,0
,956,675,673,898,42,871,508,549,2096,649,595,473,204,552,788,430,767,341,1072,726,643,746,17
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Methanosarcina,0.177824268,0.183703704,0.14858841,0.148106904,0.333333333,0.132032147,0.161417323,0.64298725,0.442748092,0.258859784,0.527731092,0.361522199,0.490196078,0.452898551,0.467005076,0.41627907,0.425032595,0.325513196,0.330223881,0.289256198,0.172628305,0.502680965,0.470588235
Methanocorpusculum,0.635983264,0.705185185,0.687964339,0.555679287,0.357142857,0.636050517,0.588582677,0,0.011450382,0,0,0,0,0,0,0,0.016949153,0,0.000932836,0,0.00155521,0,0.058823529
Methanobrevibacter,0.05125523,0,0.031203566,0,0.023809524,0.001148106,0.053149606,0.249544627,0.105438931,0.278890601,0.152941176,0.217758985,0.240196078,0.202898551,0.192893401,0.244186047,0.267275098,0.255131965,0.200559701,0.179063361,0.356143079,0.241286863,0
Methanocaldococcus,0.015690377,0,0.002971768,0.111358575,0,0.043628014,0.013779528,0,0.091603053,0.092449923,0.142857143,0.00845666,0.078431373,0.012681159,0.008883249,0.120930233,0.002607562,0.020527859,0.282649254,0.188705234,0.021772939,0.018766756,0
Methanospirillum,0.093096234,0.105185185,0.108469539,0.177060134,0.261904762,0.179104478,0.078740157,0,0.078244275,0.020030817,0,0.010570825,0.009803922,0,0.003807107,0,0.001303781,0,0.000932836,0,0.00155521,0,0
Methanoculleus,0.001046025,0,0.005943536,0.002227171,0,0.004592423,0.005905512,0.043715847,0.025763359,0.035439137,0.035294118,0.061310782,0.024509804,0.105072464,0.085025381,0.037209302,0.062581486,0.058651026,0.027985075,0.060606061,0.096423017,0.100536193,0
Methanosphaera,0,0,0.001485884,0.002227171,0,0.001148106,0.021653543,0.02003643,0.099236641,0.053929122,0.035294118,0.059196617,0.029411765,0.032608696,0.02284264,0.030232558,0.016949153,0.049853372,0.029850746,0.009641873,0.107309487,0.071045576,0
Methanohalophilus,0,0,0,0,0,0,0,0,0,0.077041602,0.070588235,0.137420719,0.053921569,0.059782609,0,0.069767442,0,0.2228739,0.027052239,0.20523416,0.066874028,0.001340483,0
Methanococcoides,0.015690377,0.002962963,0.002971768,0,0,0,0,0.038251366,0.003816794,0.134052388,0.018487395,0.029598309,0.009803922,0.101449275,0.032994924,0.044186047,0.006518905,0.064516129,0.012126866,0.048209366,0.091757387,0.013404826,0.176470588
Methanococcus,0.007322176,0.002962963,0.010401189,0.002227171,0.023809524,0.002296211,0.068897638,0.001821494,0.053912214,0.003081664,0,0.019027484,0.049019608,0.007246377,0.016497462,0.002325581,0.063885267,0.002932551,0.005597015,0.002754821,0.062208398,0.050938338,0.294117647
Methanohalobium,0.00209205,0,0,0.001113586,0,0,0.007874016,0.003642987,0,0.046224961,0.016806723,0.088794926,0.009803922,0.001811594,0.148477157,0,0.032594524,0,0.072761194,0.00137741,0.021772939,0,0
Methanosaeta,0,0,0,0,0,0,0,0,0.08730916,0,0,0,0,0.001811594,0,0,0,0,0,0,0,0,0
Methanocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104302477,0,0.001865672,0.00137741,0,0,0
Methanothermus,0,0,0,0,0,0,0,0,0.000477099,0,0,0.006342495,0.004901961,0.02173913,0.021573604,0.034883721,0,0,0.007462687,0.013774105,0,0,0
